keys,eng,fi,pt
next,Next,Seuraava,Próximo
previous,Previous,Edellinen,Anterior
continue,Continue,Jatka,Continue
choose,Choose,Valitse,Escolha
start,Start,Aloita,Começar
home,Home,Alku,Home
record,Record,Tallenna,Gravar
