keys,eng,fi,pt
movement,Movement,Liike,Movimento
singing,Singing,Laulaminen,Canto
survey,Survey,Kysely,Questionário
emotion,Emotion,Tunteet,Emoção
MBEMA,Perception,Havaitseminen,Percepção
rhythm,Rhythm,Rytmi,Rítmo
