,accuracy,loss,timeToTrain,model,dataset,dataFormat,observations,notebookName
0,0.6408983623711889,0.7486377954483032,931.6241080760956,lstm,/data/timeline,"5 time-points, 32 features (1 for each bintype and binNumber, NB features out).",Datasets ordered by date.,LSTM_model3
1,0.6103464807934984,0.762944221496582,928.4927732944489,lstm,/data/timeline,"5 time-points, 32 features (1 for each bintype and binNumber, NB features out).",Datasets ordered by date.,LSTM_model3
2,0.609649210320153,0.7598678469657898,930.9718849658966,lstm,/data/timeline,"5 time-points, 32 features (1 for each bintype and binNumber, NB features out).",Datasets ordered by date.,LSTM_model3
3,0.6328930965762412,0.7490981817245483,908.8721849918365,lstm,/data/timeline,"5 time-points, 32 features (1 for each bintype and binNumber, NB features out).",Datasets ordered by date.,LSTM_model3
4,0.6089492945210566,0.7643380761146545,955.6230790615082,lstm,/data/timeline,"5 time-points, 32 features (1 for each bintype and binNumber, NB features out).",Datasets ordered by date.,LSTM_model3
5,0.6551038341487622,0.8073639869689941,914.6845479011536,lstm,/data/timeline,"5 time-points, 32 features (1 for each bintype and binNumber, NB features out).",Datasets ordered by date.,LSTM_model3
6,0.6442866660447065,0.7969847321510315,915.209967136383,lstm,/data/timeline,"5 time-points, 32 features (1 for each bintype and binNumber, NB features out).",Datasets ordered by date.,LSTM_model3
7,0.6259325239710992,0.7489703297615051,903.9384484291077,lstm,/data/timeline,"5 time-points, 32 features (1 for each bintype and binNumber, NB features out).",Datasets ordered by date.,LSTM_model3
8,0.6487902714052942,0.7488704919815063,913.0747327804565,lstm,/data/timeline,"5 time-points, 32 features (1 for each bintype and binNumber, NB features out).",Datasets ordered by date.,LSTM_model3
9,0.6480601937402992,0.7484264969825745,917.2400658130646,lstm,/data/timeline,"5 time-points, 32 features (1 for each bintype and binNumber, NB features out).",Datasets ordered by date.,LSTM_model3
